nubKey	key	dataset_scientificname	datasetKey	scientificName	kingdom	taxonomicStatus	acceptedKey	accepted
2959929	139343790	Tetragonolobus	87e99777-7f54-4209-9688-cbf7a9179ebe	Tetragonolobus Scop.	Plantae	ACCEPTED	NA	NA
2962244	139343797	Lathyrus	87e99777-7f54-4209-9688-cbf7a9179ebe	Lathyrus L.	Plantae	ACCEPTED	NA	NA
2962960	139343801	Lotus	87e99777-7f54-4209-9688-cbf7a9179ebe	Lotus L.	Plantae	ACCEPTED	NA	NA
2963137	128537940	Tetragonolobus maritimus (L.) Roth	87e99777-7f54-4209-9688-cbf7a9179ebe	Tetragonolobus maritimus (L.) Roth	Plantae	SYNONYM	5356973	Lotus maritimus L.
2963774	139343792	Lupinus	87e99777-7f54-4209-9688-cbf7a9179ebe	Lupinus L.	Plantae	ACCEPTED	NA	NA
2963817	134089043	Lupinus luteus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lupinus luteus L.	Plantae	ACCEPTED	NA	NA
2963817	128537945	Lupinus luteus L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Lupinus luteus L.	Plantae	ACCEPTED	NA	NA
2964025	134089045	Lupinus angustifolius L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lupinus angustifolius L.	Plantae	ACCEPTED	NA	NA
2964167	134089044	Lupinus albus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lupinus albus L.	Plantae	ACCEPTED	NA	NA
2964355	134089041	Lupinus polyphyllus Lindl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lupinus polyphyllus Lindl.	Plantae	ACCEPTED	NA	NA
2964355	128537946	Lupinus polyphyllus Lindl.	87e99777-7f54-4209-9688-cbf7a9179ebe	Lupinus polyphyllus Lindl.	Plantae	ACCEPTED	NA	NA
2965200	139343802	Medicago	87e99777-7f54-4209-9688-cbf7a9179ebe	Medicago L.	Plantae	ACCEPTED	NA	NA
2965201	128538041	Medicago lupulina L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Medicago lupulina L.	Plantae	ACCEPTED	NA	NA
2965209	134088984	Medicago murex Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Medicago murex Willd.	Plantae	ACCEPTED	NA	NA
2965221	134088993	Medicago laciniata (L.) Mill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Medicago laciniata (L.) Mill.	Plantae	ACCEPTED	NA	NA
2965232	134089042	Medicago carstiensis Wulfen	9ff7d317-609b-4c08-bd86-3bc404b77c42	Medicago carstiensis Wulfen	Plantae	ACCEPTED	NA	NA
2965233	134088990	Medicago fischeriana (Seringe) Trautv.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Medicago fischeriana (Ser.) Trautv.	Plantae	ACCEPTED	NA	NA
2965254	134088972	Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	Plantae	ACCEPTED	NA	NA
