taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2018_em_status_occupancy_pa	year_2018_em_status_occurrences_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_occurrences_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_occurrences_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_occurrences_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_occurrences_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_occurrences_BE	kingdomKey	classKey
3188926	Oenothera pycnocarpa	Plantae	Magnoliopsida	61	NaN	3	2	2	2	3	3	3	3	3	2	2	2	6	220
2227663	Rhithropanopeus harrisii	Animalia	Malacostraca	60.5	1.6583398313022482	2	2	3	3	2	2	3	3	3	2	3	3	1	229
3039046	Fatsia japonica	Plantae	Magnoliopsida	60.5	1.4176604760588258	3	3	2	3	1	1	3	3	3	3	3	3	6	220
2479798	Melopsittacus undulatus	Animalia	Aves	60	1.2006705375254445	3	3	1	3	3	3	1	3	3	3	1	3	1	212
2876049	Corylus maxima	Plantae	Magnoliopsida	60	NaN	3	2	3	3	3	3	3	3	1	1	2	2	6	220
3152583	Hibiscus syriacus	Plantae	Magnoliopsida	60	NaN	2	3	3	3	1	3	3	3	1	3	3	3	6	220
3112364	Cynara cardunculus	Plantae	Magnoliopsida	60	NaN	3	3	3	3	3	3	3	3	1	1	1	1	6	220
3690997	Cardamine occulta	Plantae	Magnoliopsida	60	NaN	3	3	3	3	2	3	2	2	2	2	2	2	6	220
5676646	Digitaria aequiglumis	Plantae	Liliopsida	59.5	1.4971522885105144	3	3	3	3	3	2	3	3	0	0	3	3	6	196
5384932	Saururus cernuus	Plantae	Magnoliopsida	59.5	1.1031307682844045	2	2	3	3	3	3	3	3	1	1	3	3	6	220
2480181	Psittacus erithacus	Animalia	Aves	59.5	NaN	3	3	3	2	2	2	3	2	2	2	3	2	1	212
