taxonKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
5725685,"Viviparus viviparus (Linnaeus, 1758)",Animalia,Mollusca,Architaenioglossa,Gastropoda,Viviparus,Viviparidae,Viviparus viviparus,SPECIES,"5725685: Viviparus viviparus (Linnaeus, 1758)"
5727892,"Tritia reticulata (Linnaeus, 1758)",Animalia,Mollusca,Neogastropoda,Gastropoda,Tritia,Nassariidae,Tritia reticulata,SPECIES,"2303019: Nassarius reticulatus (Linnaeus, 1758) | 2303020: Hinia reticulata (Linnaeus, 1758) | 5727892: Tritia reticulata (Linnaeus, 1758) | 5727893: Nassa reticulata (Linnaeus, 1758)"
5729793,"Macropodia parva Van Noort & Adema, 1985",Animalia,Arthropoda,Decapoda,Malacostraca,Macropodia,Inachidae,Macropodia parva,SPECIES,"5729793: Macropodia parva Van Noort & Adema, 1985"
5729890,Oocystis rhomboidea Fott,Plantae,Chlorophyta,Oocystales,Trebouxiophyceae,Oocystis,Oocystaceae,Oocystis rhomboidea,SPECIES,5729890: Oocystis rhomboidea Fott
5732586,"Mesopsocus fuscifrons Meinander, 1966",Animalia,Arthropoda,Psocodea,Insecta,Mesopsocus,Mesopsocidae,Mesopsocus fuscifrons,SPECIES,"5732586: Mesopsocus fuscifrons Meinander, 1966"
5733462,"Myrmus miriformis (Fallén, 1807)",Animalia,Arthropoda,Hemiptera,Insecta,Myrmus,Rhopalidae,Myrmus miriformis,SPECIES,"5733462: Myrmus miriformis (Fallén, 1807)"
5739277,"Puffinus griseus (Gmelin, 1789)",Animalia,Chordata,Procellariiformes,Aves,Puffinus,Procellariidae,Puffinus griseus,SPECIES,"8249990: Ardenna grisea (Gmelin, 1789)"
5739290,"Phalaropus lobatus (Linnaeus, 1758)",Animalia,Chordata,Charadriiformes,Aves,Phalaropus,Scolopacidae,Phalaropus lobatus,SPECIES,"5739290: Phalaropus lobatus (Linnaeus, 1758)"
5739298,"Aegolius funereus (Linnaeus, 1758)",Animalia,Chordata,Strigiformes,Aves,Aegolius,Strigidae,Aegolius funereus,SPECIES,"5739298: Aegolius funereus (Linnaeus, 1758) | 7060350: Aegolius funereus funereus"
5739315,"Phoenicurus ochruros (S.G.Gmelin, 1774)",Animalia,Chordata,Passeriformes,Aves,Phoenicurus,Muscicapidae,Phoenicurus ochruros,SPECIES,"5739315: Phoenicurus ochruros (S.G.Gmelin, 1774) | 6089227: Phoenicurus ochruros gibraltariensis (Gmelin, 1789)"
5739317,"Phoenicurus phoenicurus (Linnaeus, 1758)",Animalia,Chordata,Passeriformes,Aves,Phoenicurus,Muscicapidae,Phoenicurus phoenicurus,SPECIES,"5739317: Phoenicurus phoenicurus (Linnaeus, 1758) | 7340983: Phoenicurus phoenicurus phoenicurus"
5739357,"Iduna rama (Sykes, 1832)",Animalia,Chordata,Passeriformes,Aves,Iduna,Acrocephalidae,Iduna rama,SPECIES,"5739357: Iduna rama (Sykes, 1832)"
